Book,Chapter,Verse,Citations
Doctrine and Covenants,109,76,7
Jacob,2,8,7
Moses,1,33,7
Doctrine and Covenants,88,12,7
Jacob,5,69,7
Jacob,5,68,7
Jacob,5,67,7
Matthew,25,13,7
2 Nephi,2,13,7
Jacob,5,54,7
Jacob,5,75,7
Mosiah,5,3,7
Mosiah,4,27,7
Luke,15,1,7
Mark,2,6,7
Mark,2,2,7
Mark,2,1,7
John,7,17,7
John,6,69,7
Alma,32,36,7
1 Nephi,8,8,7
1 Nephi,8,19,7
Moses,5,6,7
Moses,5,7,7
1 Nephi,1,20,7
Mosiah,16,7,7
Mosiah,27,26,7
Isaiah,2,2,7
Luke,8,45,7
3 Nephi,27,6,7
John,15,11,7
Doctrine and Covenants,112,10,7
Doctrine and Covenants,1,1,7
Matthew,28,18,7
Matthew,28,6,7
Alma,11,43,7
4 Nephi,1,18,7
Jacob,5,58,7
Jacob,5,57,7
Jacob,5,56,7
Jacob,5,55,7
2 Nephi,2,18,7
Doctrine and Covenants,20,61,7
2 Nephi,2,15,7
Mark,2,8,7
Mark,2,7,7
Jacob,5,63,7
Jacob,5,62,7
1 Nephi,17,45,7
Mark,5,29,7
Mark,5,27,7
Mark,5,26,7
Mark,2,10,7
Mark,2,9,7
Mosiah,4,9,7
3 Nephi,9,19,7
3 Nephi,9,18,7
Doctrine and Covenants,20,42,7
Jacob,5,60,7
Jacob,5,59,7
Psalms,30,5,7
1 John,4,18,7
Doctrine and Covenants,109,39,7
Mark,5,33,7
Mark,5,32,7
Mark,5,30,7
Mark,4,38,7
Mark,4,37,7
Matthew,18,20,7
Mark,2,12,7
1 Nephi,8,23,7
1 Nephi,11,31,7
Doctrine and Covenants,20,38,7
Jacob,5,40,7
Jacob,5,66,7
Jacob,5,65,7
Alma,13,27,7
Jacob,5,64,7
John,5,8,7
Matthew,14,28,7
John,14,21,7
Alma,42,21,7
Alma,42,20,7
Alma,42,19,7
Moroni,7,7,7
Moroni,7,5,7
Helaman,5,10,7
Alma,42,17,7
Doctrine and Covenants,121,44,7
Moses,6,52,7
John,6,9,7
Mark,9,7,7
2 Timothy,3,3,7
Doctrine and Covenants,10,5,7
Doctrine and Covenants,20,24,7
Doctrine and Covenants,20,23,7
Doctrine and Covenants,121,34,7
Luke,1,37,7
Moroni,7,21,7
Moroni,7,20,7
Doctrine and Covenants,93,19,7
Doctrine and Covenants,76,55,7
Doctrine and Covenants,76,54,7
Doctrine and Covenants,128,15,7
Jacob,5,2,7
Matthew,5,12,7
1 Nephi,11,20,7
John,4,28,7
John,4,27,7
Doctrine and Covenants,109,25,7
Hebrews,12,9,7
Jacob,5,8,7
Jacob,5,7,7
Jacob,5,6,7
Jacob,5,5,7
Jacob,5,4,7
Jacob,5,3,7
Jacob,5,47,7
Jacob,5,46,7
Jacob,5,45,7
Jacob,5,44,7
